iter	Passed	Remaining
894	2268	266
895	2271	263
896	2272	260
897	2273	258
898	2275	255
899	2279	253
900	2282	250
901	2284	248
902	2286	245
903	2287	242
904	2289	240
905	2290	237
906	2293	235
907	2295	232
908	2296	229
909	2298	227
910	2299	224
911	2300	222
912	2302	219
913	2303	216
914	2305	214
915	2308	211
916	2309	209
917	2311	206
918	2312	203
919	2313	201
920	2315	198
921	2316	195
922	2317	193
923	2319	190
924	2320	188
925	2323	185
926	2324	183
927	2326	180
928	2327	177
929	2329	175
930	2330	172
931	2332	170
932	2333	167
933	2335	165
934	2337	162
935	2339	159
936	2340	157
937	2341	154
938	2343	152
939	2345	149
940	2346	147
941	2348	144
942	2349	142
943	2350	139
944	2351	136
945	2354	134
946	2355	131
947	2356	129
948	2358	126
949	2359	124
950	2360	121
951	2362	119
952	2363	116
953	2364	114
954	2366	111
955	2367	108
956	2368	106
957	2370	103
958	2371	101
959	2372	98
960	2374	96
961	2375	93
962	2376	91
963	2377	88
964	2379	86
965	2382	83
966	2383	81
967	2384	78
968	2386	76
969	2387	73
970	2389	71
971	2390	68
972	2391	66
973	2392	63
974	2393	61
975	2394	58
976	2398	56
977	2400	54
978	2402	51
979	2405	49
980	2408	46
981	2412	44
982	2414	41
983	2417	39
984	2437	37
985	2439	34
986	2440	32
987	2447	29
988	2450	27
989	2452	24
990	2454	22
991	2456	19
992	2458	17
993	2460	14
994	2461	12
995	2464	9
996	2466	7
997	2482	4
998	2484	2
999	2489	0
